ID;Lat;Long;USERS_TOT;USERS_O;USERS_G;USERS_FS;USERS_MAM;primary;tree_ri;ghm;heght;psri;npp;vcf;notho_ri;biomass;BIOMA
5242;-4882958.744;-7982534.836;7.820696;3.272441;3.071412;1.573204;1.062475;1.59275;6.925503;0.181959;9.739076;-0.048043;5388.875;51.225;2.113693;101.515281;2
5243;-4879159.566;-7949632.985;13.280111;5.55967;5.473916;2.612996;1.930297;2.489389;8.388853;0.133526;22.902677;-0.06999;7360.4;61.575;2.954109;74.400833;2
5244;-4879159.566;-7923311.505;7.322491;3.287093;3.883934;1.156517;0.806846;1.256097;3.616734;0.262505;6.137392;0.005579;4432.666667;11.725;1.257653;21.532435;2
5252;-4871561.209;-8199687.048;16.337622;6.391304;5.220796;3.384643;2.965518;2.28785;13.727873;0.206378;16.601628;-0.094435;10825.17949;78.153846;2.396637;108.30964;2
5253;-4871561.209;-8160204.827;15.541881;6.349402;4.965579;3.486282;2.664073;2.410747;10.587631;0.233675;18.363941;-0.073083;15338.69231;73.076923;1.530127;131.45602;2
5254;-4871561.209;-8120722.607;20.756978;8.817011;8.38419;4.219957;3.480577;2.531184;7.591687;0.383766;9.853568;-0.003583;12546.94872;27.102564;1.63197;54.229085;2
5255;-4871561.209;-8081240.387;20.161099;8.68937;8.082298;4.228942;3.251093;2.599438;7.820922;0.294861;11.602418;-0.012283;13103.4359;29.230769;1.473051;56.267716;2
5256;-4871561.209;-8041758.166;21.275011;9.040816;8.191307;4.813213;2.783104;3.265145;10.952624;0.230484;16.531241;-0.107225;12054.84211;57.394737;2.275406;79.084418;2
5257;-4871561.209;-8015436.686;20.177139;8.46023;7.746717;4.485372;2.634736;3.20527;10.619009;0.320658;13.987976;-0.06556;13864.75;56.65;2.295;81.757679;2
5258;-4871561.209;-7989115.206;8.142856;3.464327;2.926509;1.840368;1.018425;1.723199;6.882092;0.133191;15.415824;-0.064896;7352.205128;61.333333;1.865635;124.400313;2
5259;-4875360.388;-7969374.095;10.863103;4.379609;4.025934;2.323781;1.592159;2.072004;8.31175;0.118067;17.638959;-0.085923;7860.9;66.35;2.60715;112.417159;2
5260;-4871561.209;-7936472.245;7.751352;3.286545;3.545096;1.330925;1.14506;1.456886;5.720774;0.21779;13.834136;-0.035056;6642.175;39.85;2.174475;62.244968;2
5261;-4871561.209;-7910150.765;12.90553;5.4776;6.284084;2.050875;1.847442;1.845127;3.352457;0.112146;1.839307;0.023921;3660.128205;9.25641;0.931675;10.706373;2
5268;-4863962.852;-8186526.308;12.431069;4.758147;3.724931;2.494954;2.528446;2.096494;12.304389;0.21845;19.281538;-0.089124;11390.38462;77.512821;2.594115;98.841543;2
5269;-4863962.852;-8147044.087;16.636092;6.808182;5.741896;3.537344;2.678329;2.446247;10.234112;0.231792;22.085299;-0.056826;15914.25641;58;1.642576;107.010291;2
5270;-4863962.852;-8107561.867;17.272685;7.177929;6.539796;3.481837;3.107656;2.067258;7.165567;0.286378;10.224135;-0.014027;13109.20513;27.025641;1.342805;58.646674;2
5271;-4863962.852;-8028597.426;13.416363;5.547938;4.589777;3.28806;1.818326;2.332638;9.900491;0.209131;18.59018;-0.080849;10086.61539;72.769231;2.136764;140.957243;2
5272;-4863962.852;-8002275.946;9.985602;4.17871;3.788394;2.089135;1.306306;1.880756;8.638174;0.193275;15.84985;-0.071855;9350.897436;60.512821;2.31537;96.935138;2
5273;-4863962.852;-7975954.466;15.177868;6.152441;5.529508;3.384926;2.24633;2.724191;10.290498;0.100923;25.697175;-0.161866;11181.73684;71.974359;2.730861;112.150374;2
5274;-4867762.031;-7956213.355;15.958256;6.531376;6.183947;3.362358;2.438158;2.832563;10.273055;0.133452;22.760249;-0.066302;8922.578947;66.102564;3.234236;93.942352;2
5275;-4863962.852;-7923311.505;13.448583;5.854938;6.354654;2.33188;1.93996;2.393731;5.982463;0.174603;14.165891;-0.02886;5213.435897;18.564103;2.234869;30.455969;2
5283;-4856364.496;-8199687.048;18.93856;7.676903;6.552333;3.865809;3.039584;2.705877;13.710475;0.164276;4.987874;-0.69941;9848.666667;74.208333;2.462488;97.720798;2
5284;-4856364.496;-8173365.567;13.580709;5.116301;3.937321;2.823287;3.023339;2.391362;12.691329;0.149872;23.909078;-0.087964;10515.91177;78.5;2.593775;116.691086;2
5285;-4856364.496;-8133883.347;15.576547;6.394603;5.245837;3.270366;2.717878;2.364361;10.827693;0.232526;22.033679;-0.059634;15009.94444;68.305556;1.939042;111.495674;2
5286;-4856364.496;-8094401.127;17.875489;7.397853;7.042962;3.454976;3.060993;2.30679;7.784408;0.28532;14.464809;-0.012772;12882.81818;26.636364;1.518299;62.598622;2
5287;-4860163.674;-8074660.016;18.020606;7.687072;7.023792;3.683984;2.78841;2.521029;8.797636;0.275333;10.167228;-0.035207;14068.11429;39.941176;1.790276;78.635637;2
5288;-4856364.496;-8054918.906;23.676389;10.257092;9.640942;5.027857;3.418579;3.147801;10.462722;0.386977;8.537435;-0.050798;11844.02778;36.722222;2.3695;44.197218;2
5289;-4856364.496;-8015436.686;12.953298;5.22715;4.209806;3.248903;1.845595;2.304345;10.24347;0.201527;16.736148;-0.079819;11358.18182;76.333333;2.341894;141.6207;2
5290;-4856364.496;-7989115.206;8.383279;3.559204;3.454021;1.629212;1.097094;1.717552;7.296534;0.150528;15.325653;-0.052531;7165.808824;48.114286;2.364646;98.021024;2
5291;-4856364.496;-7962793.725;16.15611;6.586203;6.220126;3.414939;2.414188;2.890181;9.840045;0.15044;26.022731;-0.06969;8515.371429;61.228571;3.288288;96.630626;2
5292;-4860163.674;-7943052.615;20.974207;8.76811;8.938604;4.159667;3.139473;3.470771;11.638408;0.390635;13.024216;-0.107539;7761.264706;46.305556;3.95872;71.979205;2
5300;-4848766.139;-8186526.308;12.053315;4.522288;3.364935;2.451921;2.649491;2.193179;11.952771;0.163545;22.583881;-0.090606;12641.4359;78.692308;2.330277;112.971762;2
5301;-4848766.139;-8160204.827;14.024061;5.407118;4.133151;2.933992;2.825225;2.395171;12.170838;0.147031;22.483113;-0.092156;12014.94872;77.102564;2.447473;118.906827;2
5302;-4848766.139;-8120722.607;20.152743;8.511687;7.730485;4.077749;3.123135;2.843551;10.265071;0.255397;16.423681;-0.044063;15017.075;42.85;2.017928;75.37591;2
5303;-4848766.139;-8081240.387;18.396083;7.714742;7.332067;3.597662;2.915409;2.624566;9.485079;0.274828;13.531838;-0.01536;13405.58974;34.794872;2.230378;75.32482;2
5304;-4848766.139;-8041758.166;10.039578;4.032981;3.079819;2.473042;1.519636;1.793914;9.493421;0.189295;19.319122;-0.084103;10166.7;77.4;2.343185;148.644646;2
5305;-4848766.139;-8002275.946;12.155467;4.804172;3.992673;2.848941;1.990337;2.273621;10.219499;0.195651;21.971743;-0.084879;9332.375;78.325;2.552661;134.987548;2
5306;-4848766.139;-7975954.466;10.466252;4.348944;3.990907;2.195263;1.49633;1.929954;8.475203;0.141309;10.739884;-0.067368;7286.076923;64.25641;2.577459;96.376067;2
5307;-4848766.139;-7949632.985;11.090509;4.672697;4.799259;2.017797;1.536994;2.061553;7.404168;0.232214;17.655151;-0.050121;6519.179487;51.948718;2.787463;69.806181;2
5308;-4852565.317;-7929891.875;20.235493;8.440003;8.976557;3.730056;3.099373;3.201566;9.336944;0.274348;11.850186;-0.040579;6265.846154;33.846154;3.554513;35.744185;2
